來源	公布日期	證券代號	名稱	累計	處置條件	處置期間	處置措施
TWSE	115/04/24	05722U	台灣50凱基55售05	1	連續三次	115/04/27～115/05/11	第一次處置 / 5分
TPEX	115/04/24	3228	金麗科	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/27~115/05/11	再次處置 / 5分
TPEX	115/04/24	3430	奇鈦科	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/27~115/05/11	再次處置 / 5分
TPEX	115/04/24	3581	博磊	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/27~115/05/11	再次處置 / 20分
TPEX	115/04/24	3631	晟楠	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/27~115/05/11	再次處置 / 5分
TPEX	115/04/24	4971	IET-KY	8	連續5個營業日	115/04/27~115/05/11	再次處置 / 20分
TPEX	115/04/24	6217	中探針	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/27~115/05/11	再次處置 / 20分
TWSE	115/04/24	6531	愛普*	1	連續三次	115/04/27～115/05/11	第一次處置 / 5分
TPEX	115/04/24	6735	美達科技	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/27~115/05/11	再次處置 / 5分
TWSE	115/04/24	8021	尖點	6	連續三次	115/04/27～115/05/11	第二次處置 / 20分
TPEX	115/04/24	80212	尖點二	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/27~115/05/11	再次處置 / 20分
TWSE	115/04/23	1623	大東電	1	連續三次	115/04/24～115/05/08	第一次處置 / 5分
TWSE	115/04/23	1711	永光	2	連續五次	115/04/24～115/05/08	第二次處置 / 20分
TWSE	115/04/23	1721	三晃	2	連續三次	115/04/24～115/05/08	第一次處置 / 5分
TWSE	115/04/23	3229	晟鈦	3	連續三次	115/04/24～115/05/08	第二次處置 / 20分
TPEX	115/04/23	3363	上詮	8	最近10個營業日內有6個營業日	115/04/24~115/05/08	再次處置 / 20分
TWSE	115/04/23	3653	健策	2	連續三次	115/04/24～115/05/08	第一次處置 / 5分
TPEX	115/04/23	4768	晶呈科技	8	最近10個營業日內有6個營業日	115/04/24~115/05/08	再次處置 / 5分
TPEX	115/04/23	5498	凱崴	8	最近10個營業日內有6個營業日	115/04/24~115/05/08	再次處置 / 5分
TWSE	115/04/23	6415	矽力*-KY	2	連續三次	115/04/24～115/05/08	第一次處置 / 5分
TPEX	115/04/23	6423	億而得	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/24~115/05/08	再次處置 / 5分
TPEX	115/04/23	6643	M31	8	連續5個營業日	115/04/24~115/05/08	再次處置 / 5分
TWSE	115/04/23	6861	睿生光電	6	連續三次	115/04/24～115/05/08	第一次處置 / 5分
TPEX	115/04/23	706140	蜜望實統一66購01	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/24~115/05/08	再次處置 / 5分
TPEX	115/04/23	8092	建暐	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/24~115/05/08	再次處置 / 5分
TPEX	115/04/23	80924	建暐四	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/24~115/05/08	再次處置 / 5分
TWSE	115/04/23	8271	宇瞻	3	連續三次	115/04/24～115/05/08	第二次處置 / 20分
TPEX	115/04/22	3221	台嘉碩	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/23~115/05/07	再次處置 / 5分
TPEX	115/04/22	3339	泰谷	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/23~115/05/07	再次處置 / 20分
TPEX	115/04/22	33881	崇越電一	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/23~115/05/07	再次處置 / 5分
TWSE	115/04/22	3518	柏騰	1	連續三次	115/04/23～115/05/07	第一次處置 / 5分
TPEX	115/04/22	35181	柏騰一	7	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/23~115/05/07	再次處置 / 5分
TWSE	115/04/22	4960	誠美材	3	連續三次	115/04/23～115/05/07	第二次處置 / 20分
TPEX	115/04/22	49793	華星光三	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/23~115/05/07	再次處置 / 20分
TPEX	115/04/22	49794	華星光四	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/23~115/05/07	再次處置 / 20分
TWSE	115/04/22	6213	聯茂	1	連續三次及當日沖銷標準	115/04/23～115/05/11	第一次處置 / 5分
TPEX	115/04/22	6829	千附精密	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/23~115/05/07	再次處置 / 20分
TWSE	115/04/21	2484	希華	1	連續三次	115/04/22～115/05/06	第一次處置 / 5分
TPEX	115/04/21	3388	崇越電	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/22~115/05/06	再次處置 / 5分
TPEX	115/04/21	33881	崇越電一	11	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/22~115/05/06	再次處置 / 5分
TPEX	115/04/21	3529	力旺	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/22~115/05/06	再次處置 / 5分
TPEX	115/04/21	3581	博磊	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/22~115/05/06	再次處置 / 20分
TWSE	115/04/21	4919	新唐	2	連續三次	115/04/22～115/05/06	第一次處置 / 5分
TPEX	115/04/21	4939	亞電	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/22~115/05/06	再次處置 / 5分
TWSE	115/04/21	4956	光鋐	1	連續三次	115/04/22～115/05/06	第一次處置 / 5分
TPEX	115/04/21	5475	德宏	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/22~115/05/06	再次處置 / 5分
TWSE	115/04/21	6141	柏承	4	連續五次	115/04/22～115/05/06	第二次處置 / 20分
TWSE	115/04/21	6442	光聖	4	最近十個營業日已有六次	115/04/22～115/05/06	第一次處置 / 5分
TPEX	115/04/21	64422	光聖二	11	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/22~115/05/06	再次處置 / 5分
TPEX	115/04/21	64423	光聖三	11	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/22~115/05/06	再次處置 / 5分
TPEX	115/04/21	8182	加高	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/22~115/05/06	再次處置 / 5分
TPEX	115/04/21	8289	泰藝	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/22~115/05/06	再次處置 / 5分
TPEX	115/04/21	8358	金居	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/22~115/05/06	再次處置 / 5分
TWSE	115/04/20	3042	晶技	2	連續三次	115/04/21～115/05/05	第二次處置 / 20分
TWSE	115/04/20	3229	晟鈦	3	連續三次	115/04/21～115/05/05	第一次處置 / 5分
TPEX	115/04/20	3555	博士旺	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/21~115/05/05	再次處置 / 20分
TWSE	115/04/20	4764	雙鍵	4	連續三次	115/04/21～115/05/05	第二次處置 / 20分
TPEX	115/04/20	4908	前鼎	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/21~115/05/05	再次處置 / 20分
TPEX	115/04/20	4979	華星光	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/21~115/05/05	再次處置 / 20分
TPEX	115/04/20	49793	華星光三	11	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/21~115/05/05	再次處置 / 20分
TPEX	115/04/20	49794	華星光四	11	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/21~115/05/05	再次處置 / 20分
TPEX	115/04/20	5340	建榮	11	最近10個營業日內有6個營業日	115/04/21~115/05/05	再次處置 / 20分
TPEX	115/04/20	6173	信昌電	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/21~115/05/05	再次處置 / 5分
TPEX	115/04/20	6208	日揚	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/21~115/05/05	再次處置 / 5分
TWSE	115/04/20	6456	GIS-KY	1	連續三次	115/04/21～115/05/05	第一次處置 / 5分
TPEX	115/04/20	65152	穎崴二	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/21~115/05/05	再次處置 / 5分
TPEX	115/04/20	6791	虎門科技	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/21~115/05/05	再次處置 / 5分
TPEX	115/04/20	72381U	萬潤群益56售01	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/21~115/05/05	再次處置 / 5分
TWSE	115/04/20	8438	昶昕	3	最近十個營業日已有六次	115/04/21～115/05/05	第一次處置 / 5分
TWSE	115/04/17	050503	緯穎中信5A購05	3	連續三次	115/04/20～115/05/04	第二次處置 / 20分
TWSE	115/04/17	052108	一詮富邦5A購01	1	連續三次	115/04/20～115/05/04	第一次處置 / 5分
TWSE	115/04/17	2923	鼎固-KY	1	連續三次	115/04/20～115/05/04	第一次處置 / 5分
TPEX	115/04/17	3339	泰谷	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/20~115/05/04	再次處置 / 5分
TPEX	115/04/17	3467	台灣精材	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/20~115/05/04	再次處置 / 5分
TWSE	115/04/17	3714	富采	1	連續三次	115/04/20～115/05/04	第一次處置 / 5分
TWSE	115/04/17	4960	誠美材	3	連續三次	115/04/20～115/05/04	第二次處置 / 20分
TPEX	115/04/17	49793	華星光三	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/20~115/05/04	再次處置 / 5分
TPEX	115/04/17	49794	華星光四	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/20~115/05/04	再次處置 / 5分
TPEX	115/04/17	5228	鈺鎧	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/20~115/05/04	再次處置 / 5分
TWSE	115/04/17	6224	聚鼎	1	連續三次	115/04/20～115/05/04	第一次處置 / 5分
TWSE	115/04/17	6278	台表科	1	連續三次	115/04/20～115/05/04	第一次處置 / 5分
TPEX	115/04/17	6419	京晨科	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/20~115/05/04	再次處置 / 5分
TWSE	115/04/17	6451	訊芯-KY	3	連續三次	115/04/20～115/05/04	第二次處置 / 20分
TPEX	115/04/17	64512	訊芯二KY	9	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/20~115/05/04	再次處置 / 20分
TPEX	115/04/17	6829	千附精密	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/20~115/05/04	再次處置 / 5分
TWSE	115/04/17	7610	聯友金屬-創	8	連續三次	115/04/20～115/05/04	第二次處置 / 20分
TPEX	115/04/17	8043	蜜望實	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/20~115/05/04	再次處置 / 5分
TWSE	115/04/16	033441	貿聯凱基54購04	1	連續三次	115/04/17～115/04/30	第一次處置 / 5分
TPEX	115/04/16	31672	大量二	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/17~115/04/30	再次處置 / 20分
TPEX	115/04/16	3289	宜特	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/17~115/04/30	再次處置 / 5分
TWSE	115/04/16	3443	創意	1	連續三次	115/04/17～115/04/30	第一次處置 / 5分
TPEX	115/04/16	3581	博磊	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/17~115/04/30	再次處置 / 5分
TWSE	115/04/16	3593	力銘	1	連續三次	115/04/17～115/04/30	人工管制撮合 / 10分
TWSE	115/04/16	4989	榮科	1	連續三次	115/04/17～115/04/30	第一次處置 / 5分
TPEX	115/04/16	6274	台燿	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/17~115/04/30	再次處置 / 5分
TPEX	115/04/16	62745	台燿五	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/17~115/04/30	再次處置 / 5分
TWSE	115/04/16	6949	沛爾生醫-創	3	連續三次	115/04/17～115/04/30	第一次處置 / 5分
TPEX	115/04/16	7556	意德士	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/17~115/04/30	再次處置 / 5分
TPEX	115/04/16	75561	意德士一永	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/17~115/04/30	再次處置 / 5分
TPEX	115/04/16	75562	意德士二	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/17~115/04/30	再次處置 / 5分
TPEX	115/04/15	1785	光洋科	6	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/16~115/04/29	再次處置 / 5分
TWSE	115/04/15	3042	晶技	2	連續三次	115/04/16～115/04/29	第一次處置 / 5分
TWSE	115/04/15	3167	大量	9	連續三次	115/04/16～115/04/29	第二次處置 / 20分
TPEX	115/04/15	31672	大量二	6	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/16~115/04/29	再次處置 / 20分
TWSE	115/04/15	3532	台勝科	4	連續三次	115/04/16～115/04/29	第一次處置 / 5分
TWSE	115/04/15	4569	六方科-KY	1	連續三次	115/04/16～115/04/29	第一次處置 / 5分
TPEX	115/04/15	45691	六方科一KY	6	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/16~115/04/29	再次處置 / 5分
TWSE	115/04/15	4576	大銀微系統	1	連續三次	115/04/16～115/04/29	第一次處置 / 5分
TPEX	115/04/15	4577	達航科技	6	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/16~115/04/29	再次處置 / 5分
TWSE	115/04/15	4764	雙鍵	4	連續三次	115/04/16～115/04/29	第一次處置 / 5分
TPEX	115/04/15	4908	前鼎	6	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/16~115/04/29	再次處置 / 5分
TWSE	115/04/15	4949	有成精密	1	連續三次	115/04/16～115/04/29	第一次處置 / 5分
TWSE	115/04/15	6806	森崴能源	5	連續三次	115/04/16～115/04/29	人工管制撮合 / 25分
TPEX	115/04/15	68061	森崴能源一	6	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/16~115/04/29	再次處置 / 25分
TWSE	115/04/14	050503	緯穎中信5A購05	3	連續三次	115/04/15～115/04/28	第一次處置 / 5分
TPEX	115/04/14	1591	駿吉-KY	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 5分
TWSE	115/04/14	2426	鼎元	4	連續三次	115/04/15～115/04/28	第二次處置 / 20分
TWSE	115/04/14	2467	志聖	2	連續三次	115/04/15～115/04/28	第二次處置 / 20分
TPEX	115/04/14	24672	志聖二	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 5分
TPEX	115/04/14	24673	志聖三	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 5分
TWSE	115/04/14	2486	一詮	4	連續五次	115/04/15～115/04/28	第二次處置 / 20分
TPEX	115/04/14	24866	一詮六	14	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/15~115/04/28	再次處置 / 20分
TWSE	115/04/14	2489	瑞軒	4	連續三次	115/04/15～115/04/28	第二次處置 / 20分
TWSE	115/04/14	3026	禾伸堂	7	連續三次	115/04/15～115/04/28	第一次處置 / 5分
TPEX	115/04/14	3234	光環	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 5分
TPEX	115/04/14	3508	位速	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 25分
TPEX	115/04/14	4991	環宇-KY	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 20分
TPEX	115/04/14	6147	頎邦	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 5分
TWSE	115/04/14	6451	訊芯-KY	3	連續三次	115/04/15～115/04/28	第二次處置 / 20分
TPEX	115/04/14	64512	訊芯二KY	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 5分
TPEX	115/04/14	68301	汎銓一	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 20分
TPEX	115/04/14	6903	巨漢	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 5分
TWSE	115/04/14	7610	聯友金屬-創	8	連續三次	115/04/15～115/04/28	第一次處置 / 5分
TWSE	115/04/14	8021	尖點	6	連續三次	115/04/15～115/04/28	第一次處置 / 5分
TPEX	115/04/14	80212	尖點二	14	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/15~115/04/28	再次處置 / 5分
TPEX	115/04/14	8444	綠河-KY	14	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/15~115/04/28	再次處置 / 10分
TWSE	115/04/14	8996	高力	4	最近十個營業日已有六次	115/04/15～115/04/28	第一次處置 / 5分
TPEX	115/04/14	89964	高力四	14	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/15~115/04/28	再次處置 / 5分
TWSE	115/04/13	3037	欣興	3	連續三次	115/04/14～115/04/27	第二次處置 / 20分
TPEX	115/04/13	30371	欣興一	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/14~115/04/27	再次處置 / 20分
TPEX	115/04/13	31672	大量二	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/14~115/04/27	再次處置 / 20分
TPEX	115/04/13	3455	由田	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/14~115/04/27	再次處置 / 5分
TWSE	115/04/13	3583	辛耘	1	連續三次	115/04/14～115/04/27	第一次處置 / 5分
TPEX	115/04/13	35831	辛耘一	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/14~115/04/27	再次處置 / 5分
TPEX	115/04/13	35832	辛耘二	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/14~115/04/27	再次處置 / 5分
TPEX	115/04/13	6217	中探針	8	連續5個營業日	115/04/14~115/04/27	再次處置 / 20分
TPEX	115/04/13	6218	豪勉	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/14~115/04/27	再次處置 / 5分
TWSE	115/04/13	6443	元晶	2	最近三十個營業日已有十二次	115/04/14～115/04/27	第一次處置 / 5分
TWSE	115/04/13	6830	汎銓	5	連續三次	115/04/14～115/04/27	第二次處置 / 20分
TPEX	115/04/13	68301	汎銓一	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/14~115/04/27	再次處置 / 20分
TWSE	115/04/10	2455	全新	5	連續五次	115/04/13～115/04/24	第二次處置 / 20分
TPEX	115/04/10	24552	全新二	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/13~115/04/24	再次處置 / 20分
TPEX	115/04/10	24553	全新三	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/13~115/04/24	再次處置 / 20分
TWSE	115/04/10	3167	大量	9	連續三次	115/04/13～115/04/24	第二次處置 / 20分
TPEX	115/04/10	31672	大量二	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/13~115/04/24	再次處置 / 20分
TWSE	115/04/10	5243	乙盛-KY	1	連續三次	115/04/13～115/04/24	第一次處置 / 5分
TPEX	115/04/10	6683	雍智科技	5	最近10個營業日內有6個營業日	115/04/13~115/04/24	再次處置 / 20分
TWSE	115/04/10	6806	森崴能源	5	連續三次	115/04/13～115/04/24	人工管制撮合 / 10分
TPEX	115/04/10	68061	森崴能源一	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/13~115/04/24	再次處置 / 10分
TPEX	115/04/09	3163	波若威	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/10~115/04/23	再次處置 / 20分
TPEX	115/04/09	3508	位速	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/10~115/04/23	再次處置 / 10分
TPEX	115/04/09	68301	汎銓一	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/10~115/04/23	再次處置 / 20分
TPEX	115/04/08	31672	大量二	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/09~115/04/22	再次處置 / 5分
TPEX	115/04/08	3664	安瑞-KY	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/09~115/04/22	再次處置 / 45分
TPEX	115/04/08	4741	泓瀚	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/09~115/04/22	再次處置 / 20分
TWSE	115/04/08	6830	汎銓	5	連續三次	115/04/09～115/04/22	第二次處置 / 20分
TPEX	115/04/08	68301	汎銓一	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/09~115/04/22	再次處置 / 20分
TWSE	115/04/07	3167	大量	9	連續三次	115/04/08～115/04/21	第二次處置 / 20分
TPEX	115/04/07	31672	大量二	3	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/08~115/04/21	再次處置 / 20分
TPEX	115/04/07	6727	亞泰金屬	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/08~115/04/21	再次處置 / 20分
TPEX	115/04/07	7734	印能科技	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/08~115/04/21	再次處置 / 5分
TPEX	115/04/02	31351	凌航一	1	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/07~115/04/20	再次處置 / 20分
TWSE	115/04/01	1905	華紙	1	連續三次	115/04/02～115/04/17	第一次處置 / 5分
TPEX	115/04/01	4741	泓瀚	1	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/02~115/04/17	第一次處置 / 5分
TWSE	115/04/01	7721	微程式	1	連續三次	115/04/02～115/04/17	第一次處置 / 5分
TWSE	115/03/31	3135	凌航	2	最近十個營業日已有六次	115/04/01～115/04/16	第一次處置 / 5分
TPEX	115/03/31	31351	凌航一	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/04/01~115/04/16	再次處置 / 5分
TPEX	115/03/31	4154	樂威科-KY	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/01~115/04/16	再次處置 / 5分
TPEX	115/03/31	4971	IET-KY	4	連續3個營業日及沖銷標準	115/04/01~115/04/20	再次處置 / 20分
TPEX	115/03/31	6907	雅特力-KY	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/04/01~115/04/16	再次處置 / 20分
TWSE	115/03/30	2231	為升	1	連續三次	115/03/31～115/04/15	第一次處置 / 5分
TPEX	115/03/30	5386	青雲	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/31~115/04/15	再次處置 / 20分
TPEX	115/03/30	6821	聯寶	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/31~115/04/15	再次處置 / 5分
TPEX	115/03/30	68211	聯寶一	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/31~115/04/15	再次處置 / 5分
TPEX	115/03/30	80273	鈦昇三	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/31~115/04/15	再次處置 / 5分
TPEX	115/03/27	6187	萬潤	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/30~115/04/14	再次處置 / 20分
TPEX	115/03/27	61875	萬潤五	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/30~115/04/14	再次處置 / 20分
TPEX	115/03/27	6584	南俊國際	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/30~115/04/14	再次處置 / 20分
TPEX	115/03/27	65841	南俊國際一	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/30~115/04/14	再次處置 / 20分
TPEX	115/03/27	65842	南俊國際二	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/30~115/04/14	再次處置 / 20分
TPEX	115/03/26	4979	華星光	4	連續5個營業日	115/03/27~115/04/13	再次處置 / 20分
TPEX	115/03/26	49793	華星光三	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/27~115/04/13	再次處置 / 20分
TPEX	115/03/26	49794	華星光四	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/27~115/04/13	再次處置 / 20分
TPEX	115/03/26	4991	環宇-KY	4	連續5個營業日	115/03/27~115/04/13	再次處置 / 20分
TPEX	115/03/25	3587	閎康	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/26~115/04/10	再次處置 / 5分
TPEX	115/03/25	35871	閎康一	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/26~115/04/10	再次處置 / 5分
TPEX	115/03/25	35872	閎康二	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/26~115/04/10	再次處置 / 5分
TWSE	115/03/25	6515	穎崴	1	最近十個營業日已有六次	115/03/26～115/04/10	第一次處置 / 5分
TPEX	115/03/25	65152	穎崴二	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/26~115/04/10	再次處置 / 5分
TPEX	115/03/24	31351	凌航一	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/25~115/04/09	再次處置 / 5分
TPEX	115/03/24	3363	上詮	8	最近10個營業日內有6個營業日	115/03/25~115/04/09	再次處置 / 20分
TPEX	115/03/24	4905	台聯電	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/25~115/04/09	再次處置 / 5分
TPEX	115/03/24	6547	高端疫苗	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/25~115/04/09	再次處置 / 5分
TPEX	115/03/24	65472	高端疫苗二	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/25~115/04/09	再次處置 / 5分
TPEX	115/03/24	6584	南俊國際	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/25~115/04/09	再次處置 / 20分
TPEX	115/03/24	65841	南俊國際一	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/25~115/04/09	再次處置 / 20分
TPEX	115/03/24	65842	南俊國際二	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/25~115/04/09	再次處置 / 5分
TWSE	115/03/23	2337	旺宏	4	連續三次	115/03/24～115/04/08	第二次處置 / 20分
TPEX	115/03/23	23372	旺宏二	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/24~115/04/08	再次處置 / 20分
TPEX	115/03/23	6465	威潤	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/24~115/04/08	再次處置 / 5分
TPEX	115/03/23	735856	茂迪統一57購01	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/24~115/04/08	再次處置 / 5分
TWSE	115/03/23	7711	永擎	2	連續三次	115/03/24～115/04/08	第一次處置 / 5分
TPEX	115/03/23	8155	博智	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/24~115/04/08	再次處置 / 5分
TPEX	115/03/23	81551	博智一	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/03/24~115/04/08	再次處置 / 5分
TWSE	115/03/20	2399	映泰	1	連續三次	115/03/23～115/04/07	第一次處置 / 5分
TWSE	115/03/20	2451	創見	1	連續三次	115/03/23～115/04/07	第一次處置 / 5分
TPEX	115/03/20	3693	營邦	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/23~115/04/07	再次處置 / 5分
TWSE	115/03/20	6426	統新	3	最近十個營業日已有六次	115/03/23～115/04/07	第二次處置 / 20分
TPEX	115/03/20	6907	雅特力-KY	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/03/23~115/04/07	再次處置 / 20分
TWSE	115/03/19	1711	永光	2	連續三次	115/03/20～115/04/02	第一次處置 / 5分
TWSE	115/03/19	1735	日勝化	1	連續三次	115/03/20～115/04/02	第一次處置 / 5分
