來源	公布日期	證券代號	名稱	累計	處置條件	處置期間	處置措施
TPEX	107/06/25	4513	福裕	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/26~107/07/09	再次處置 / 20分
TPEX	107/06/25	8913	全銓	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/26~107/07/09	再次處置 / 20分
TWSE	107/06/25	911608	明輝-DR	1	連續五次	107/06/26～107/07/09	第一次處置 / 5分
TPEX	107/06/22	5304	鼎創達	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/25~107/07/06	第一次處置 / 45分
TWSE	107/06/21	9157	陽光能源-DR	23	最近十個營業日已有六次	107/06/22～107/07/05	人工管制撮合 / 25分
TPEX	107/06/20	4513	福裕	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/21~107/07/04	再次處置 / 5分
TPEX	107/06/20	8913	全銓	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/21~107/07/04	再次處置 / 20分
TWSE	107/06/20	911616	杜康-DR	39	連續五次	107/06/21～107/07/04	第二次處置 / 20分
TWSE	107/06/15	4976	佳凌	1	連續三次	107/06/19～107/07/02	第一次處置 / 5分
TWSE	107/06/14	3025	星通	1	最近十個營業日已有六次	107/06/15～107/06/29	第一次處置 / 5分
TPEX	107/06/14	3693	營邦	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/15~107/06/29	再次處置 / 5分
TPEX	107/06/14	36931	營邦一	3		107/06/15~107/06/29	再次處置 / 5分
TWSE	107/06/14	8261	富鼎	1	連續三次	107/06/15～107/06/29	第一次處置 / 5分
TPEX	107/06/14	8913	全銓	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/15~107/06/29	再次處置 / 20分
TPEX	107/06/13	5328	華容	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/14~107/06/28	第一次處置 / 5分
TWSE	107/06/12	2413	環科	3	連續五次	107/06/13～107/06/27	第一次處置 / 5分
TWSE	107/06/12	3504	揚明光	1	最近十個營業日已有六次	107/06/13～107/06/27	第一次處置 / 5分
TPEX	107/06/12	3624	光頡	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/13~107/06/27	再次處置 / 20分
TPEX	107/06/12	6173	信昌電	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/13~107/06/27	再次處置 / 20分
TPEX	107/06/12	8097	常珵	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/13~107/06/27	再次處置 / 5分
TWSE	107/06/12	911616	杜康-DR	39	連續五次	107/06/13～107/06/27	第二次處置 / 20分
TWSE	107/06/11	2491	吉祥全	1	連續三次	107/06/12～107/06/26	第一次處置 / 5分
TPEX	107/06/11	4609	唐鋒	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/12~107/06/26	再次處置 / 20分
TPEX	107/06/11	8913	全銓	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/12~107/06/26	再次處置 / 5分
TWSE	107/06/11	9157	陽光能源-DR	23	連續五次	107/06/12～107/06/26	人工管制撮合 / 10分
TPEX	107/06/08	8171	天宇	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/11~107/06/25	第一次處置 / 5分
TWSE	107/06/07	2424	隴華	2	連續三次	107/06/08～107/06/22	第一次處置 / 5分
TPEX	107/06/07	3339	泰谷	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/08~107/06/22	第一次處置 / 5分
TWSE	107/06/06	2302	麗正	1	連續三次	107/06/07～107/06/21	第一次處置 / 5分
TPEX	107/06/06	6127	九豪	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/07~107/06/21	再次處置 / 20分
TWSE	107/06/06	6155	鈞寶	2	連續三次	107/06/07～107/06/21	第一次處置 / 5分
TWSE	107/06/05	2349	錸德	3	連續三次	107/06/06～107/06/20	第二次處置 / 20分
TPEX	107/06/05	37071	漢磊一	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/06~107/06/20	再次處置 / 20分
TPEX	107/06/05	6497	亞獅康-KY	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/06~107/06/20	再次處置 / 5分
TWSE	107/06/05	911616	杜康-DR	39	連續五次	107/06/06～107/06/20	第二次處置 / 20分
TPEX	107/06/04	5345	天揚	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/05~107/06/19	第一次處置 / 5分
TPEX	107/06/01	3707	漢磊	5	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/04~107/06/15	再次處置 / 5分
TPEX	107/06/01	37071	漢磊一	5		107/06/04~107/06/15	再次處置 / 5分
TPEX	107/06/01	6127	九豪	5	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/04~107/06/15	再次處置 / 5分
TPEX	107/06/01	6174	安碁	5	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/04~107/06/15	再次處置 / 5分
TPEX	107/06/01	8043	蜜望實	5	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/04~107/06/15	再次處置 / 20分
TPEX	107/05/31	37071	漢磊一	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/01~107/06/14	再次處置 / 5分
TPEX	107/05/31	5299	杰力	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/01~107/06/14	再次處置 / 5分
TPEX	107/05/31	6432	今展科	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/06/01~107/06/14	再次處置 / 5分
TPEX	107/05/31	64321	今展科一	4		107/06/01~107/06/14	再次處置 / 5分
TWSE	107/05/30	3090	日電貿	1	最近十個營業日已有六次	107/05/31～107/06/13	第一次處置 / 5分
TPEX	107/05/30	4806	昇華	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/31~107/06/13	再次處置 / 25分
TPEX	107/05/30	48061	昇華一	4		107/05/31~107/06/13	再次處置 / 25分
TPEX	107/05/30	48062	昇華二	4		107/05/31~107/06/13	再次處置 / 25分
TPEX	107/05/30	6111	大宇資	4	最近10個營業日內有6個營業日	107/05/31~107/06/13	再次處置 / 5分
TPEX	107/05/29	24564	奇力新四	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/30~107/06/12	再次處置 / 5分
TPEX	107/05/29	3068	美磊	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/30~107/06/12	再次處置 / 5分
TPEX	107/05/29	3624	光頡	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/30~107/06/12	再次處置 / 5分
TWSE	107/05/29	6225	天瀚	1	連續三次	107/05/30～107/06/12	人工管制撮合 / 9分
TWSE	107/05/29	911616	杜康-DR	39	連續五次	107/05/30～107/06/12	第二次處置 / 20分
TWSE	107/05/28	2444	友旺	1	連續三次	107/05/29～107/06/11	第一次處置 / 5分
TPEX	107/05/25	4806	昇華	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/28~107/06/08	再次處置 / 25分
TPEX	107/05/25	48061	昇華一	4		107/05/28~107/06/08	再次處置 / 25分
TPEX	107/05/25	48062	昇華二	4		107/05/28~107/06/08	再次處置 / 25分
TPEX	107/05/25	6496	科懋	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/28~107/06/08	再次處置 / 5分
TPEX	107/05/23	8080	奧斯特	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/24~107/06/06	再次處置 / 45分
TPEX	107/05/23	8277	商丞	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/24~107/06/06	再次處置 / 5分
